Username,NaturalId,Name,StorageType,Ticker,Amount
DINGLEBOP,OT-580b,Montem,STORE,BSE,7
DINGLEBOP,OT-580b,Montem,STORE,BTA,3
DINGLEBOP,OT-580b,Montem,STORE,C,12
DINGLEBOP,OT-580b,Montem,STORE,COF,12
DINGLEBOP,OT-580b,Montem,STORE,DW,219
DINGLEBOP,OT-580b,Montem,STORE,EXO,2
DINGLEBOP,OT-580b,Montem,STORE,FE,23
DINGLEBOP,OT-580b,Montem,STORE,FEO,110
DINGLEBOP,OT-580b,Montem,STORE,FLX,14
DINGLEBOP,OT-580b,Montem,STORE,GRN,12
DINGLEBOP,OT-580b,Montem,STORE,HCP,24
DINGLEBOP,OT-580b,Montem,STORE,KOM,5
DINGLEBOP,OT-580b,Montem,STORE,LST,83
DINGLEBOP,OT-580b,Montem,STORE,MAI,12
DINGLEBOP,OT-580b,Montem,STORE,MCG,332
DINGLEBOP,OT-580b,Montem,STORE,O,55
DINGLEBOP,OT-580b,Montem,STORE,OVE,196
DINGLEBOP,OT-580b,Montem,STORE,PE,100
DINGLEBOP,OT-580b,Montem,STORE,PT,2
DINGLEBOP,OT-580b,Montem,STORE,PWO,63
DINGLEBOP,OT-580b,Montem,STORE,RAT,210
DINGLEBOP,OT-580b,Montem,STORE,REP,1
DINGLEBOP,Transport 1,,FTL_FUEL_STORE,FF,170
DINGLEBOP,Transport 1,,STL_FUEL_STORE,SF,366
DINGLEBOP,Transport 2,,SHIP_STORE,C,15
DINGLEBOP,Transport 2,,SHIP_STORE,DW,280
DINGLEBOP,Transport 2,,SHIP_STORE,FF,3
DINGLEBOP,Transport 2,,FTL_FUEL_STORE,FF,209
DINGLEBOP,Transport 2,,SHIP_STORE,GRN,35
DINGLEBOP,Transport 2,,SHIP_STORE,HCP,70
DINGLEBOP,Transport 2,,SHIP_STORE,MAI,15
DINGLEBOP,Transport 2,,SHIP_STORE,RAT,280
DINGLEBOP,Transport 2,,STL_FUEL_STORE,SF,507
