Username,NaturalId,Name,StorageType,Ticker,Amount
DINGLEBOP,OT-580b,Montem,STORE,C,5
DINGLEBOP,OT-580b,Montem,STORE,COF,19
DINGLEBOP,OT-580b,Montem,STORE,DW,52
DINGLEBOP,OT-580b,Montem,STORE,FE,2
DINGLEBOP,OT-580b,Montem,STORE,FEO,38
DINGLEBOP,OT-580b,Montem,STORE,FLX,32
DINGLEBOP,OT-580b,Montem,STORE,HAL,8
DINGLEBOP,OT-580b,Montem,STORE,LIO,20
DINGLEBOP,OT-580b,Montem,STORE,LST,7
DINGLEBOP,OT-580b,Montem,STORE,MCG,250
DINGLEBOP,OT-580b,Montem,STORE,O,79
DINGLEBOP,OT-580b,Montem,STORE,OVE,21
DINGLEBOP,OT-580b,Montem,STORE,PE,100
DINGLEBOP,OT-580b,Montem,STORE,PWO,5
DINGLEBOP,OT-580b,Montem,STORE,RAT,36
DINGLEBOP,OT-580b,Montem,STORE,TRU,4
DINGLEBOP,Transport 1,,FTL_FUEL_STORE,FF,45
DINGLEBOP,Transport 1,,STL_FUEL_STORE,SF,2
DINGLEBOP,Transport 2,,SHIP_STORE,BBH,2
DINGLEBOP,Transport 2,,SHIP_STORE,BDE,5
DINGLEBOP,Transport 2,,SHIP_STORE,BSE,6
DINGLEBOP,Transport 2,,SHIP_STORE,BTA,1
DINGLEBOP,Transport 2,,SHIP_STORE,FE,2
DINGLEBOP,Transport 2,,FTL_FUEL_STORE,FF,300
DINGLEBOP,Transport 2,,SHIP_STORE,LI,4
DINGLEBOP,Transport 2,,SHIP_STORE,LST,25
DINGLEBOP,Transport 2,,STL_FUEL_STORE,SF,998
